Time,"symbol",last_ask,last_bid,avg_spread
2026-08-06 01:25:00.000000000,"GC\Z26",4314.5,4314.1,0.39886578449904964
2026-08-06 01:24:00.000000000,"GC\V26",4282.1,4281.5,0.46456790123460406
2026-08-06 01:24:00.000000000,"GC\U26",4266.9,4266.2,0.5838137472283516
2026-08-06 01:24:00.000000000,"GC\Z26",4313.8,4313.3,0.36905339805825177
2026-08-06 01:23:00.000000000,"GC\V26",4282.3,4281.8,0.44620786516851735
2026-08-06 01:23:00.000000000,"GC\Z26",4314,4313.6,0.36055944055943445
2026-08-06 01:22:00.000000000,"GC\V26",4282.2,4281.7,0.4602683178534384
2026-08-06 01:22:00.000000000,"GC\Z26",4313.9,4313.5,0.3620725388600778
2026-08-06 01:21:00.000000000,"GC\V26",4284.4,4283.9,0.5166230366492133
2026-08-06 01:21:00.000000000,"GC\Z26",4316.1,4315.7,0.42696793002917915
2026-08-06 01:20:00.000000000,"GC\U26",4268.9,4268.3,0.5716981132075184
2026-08-06 01:20:00.000000000,"GC\Z26",4315.9,4315.5,0.3775883069427561
2026-08-06 01:19:00.000000000,"GC\V26",4284.7,4284.3,0.4921722113502775
2026-08-06 01:18:00.000000000,"GC\Z26",4317.4,4317.1,0.3738549618320517
2026-08-06 01:17:00.000000000,"GC\V26",4285.9,4285.4,0.49127382146443077
2026-08-06 01:17:00.000000000,"GC\Z26",4317.6,4317.2,0.3995971802618028
2026-08-06 01:16:00.000000000,"GC\V26",4286,4285.5,0.4663003663004136
2026-08-06 01:16:00.000000000,"GC\U26",4270.8,4270.2,0.5529562982005221
2026-08-06 01:16:00.000000000,"GC\Z26",4317.7,4317.3,0.3707376058041073
2026-08-06 01:15:00.000000000,"GC\V26",4287.2,4286.8,0.47708333333338554
2026-08-06 01:15:00.000000000,"GC\Z26",4318.9,4318.6,0.3816586921850184
2026-08-06 01:14:00.000000000,"GC\V26",4285.4,4285.1,0.4228304405874339
2026-08-06 01:14:00.000000000,"GC\Z26",4317.1,4316.9,0.3337992376111272
2026-08-06 01:13:00.000000000,"GC\V26",4285.4,4284.8,0.47842227378192853
2026-08-06 01:13:00.000000000,"GC\Z26",4317.1,4316.6,0.3790454016298385
2026-08-06 01:12:00.000000000,"GC\V26",4284.8,4284.4,0.5048133595284672
2026-08-06 01:12:00.000000000,"GC\U26",4269.6,4269.1,0.5854932301740774
2026-08-06 01:12:00.000000000,"GC\Z26",4316.5,4316.2,0.40934673366833824
2026-08-06 01:11:00.000000000,"GC\V26",4287.9,4287.4,0.46890109890106874
2026-08-06 01:11:00.000000000,"GC\Z26",4319.6,4319.2,0.3735869565217528
2026-08-06 01:10:00.000000000,"GC\V26",4287.5,4287.1,0.47887640449437263
2026-08-06 01:10:00.000000000,"GC\Z26",4319.2,4318.9,0.3829977628635434
2026-08-06 01:09:00.000000000,"GC\V26",4287.9,4287.4,0.44960835509136315
2026-08-06 01:09:00.000000000,"GC\U26",4272.9,4272.2,0.6670694864047547
2026-08-06 01:09:00.000000000,"GC\Z26",4319.6,4319.2,0.35714285714290045
2026-08-06 01:08:00.000000000,"GC\U26",4272.6,4271.8,0.5753289473683989
2026-08-06 01:08:00.000000000,"GC\Z26",4319.2,4318.8,0.3601941747572836
2026-08-06 01:07:00.000000000,"GC\Z26",4319.1,4318.8,0.4140161725067432
2026-08-06 01:06:00.000000000,"GC\U26",4273,4272.4,0.49565217391305094
2026-08-06 01:06:00.000000000,"GC\Z26",4319.9,4319.4,0.3974816369360166
2026-08-06 01:05:00.000000000,"GC\V26",4288.4,4288,0.45474112856310267
2026-08-06 01:05:00.000000000,"GC\Z26",4320.1,4319.8,0.3578362573099466
2026-08-06 01:04:00.000000000,"GC\U26",4276.3,4275.9,0.429765013054836
2026-08-06 01:04:00.000000000,"GC\Z26",4323.2,4322.9,0.32889576883385385
2026-08-06 01:03:00.000000000,"GC\V26",4292,4291.6,0.4622916666666877
2026-08-06 01:03:00.000000000,"GC\Z26",4323.7,4323.4,0.36289640591962924
2026-08-06 01:02:00.000000000,"GC\V26",4290.7,4290.3,0.46855670103088093
2026-08-06 01:02:00.000000000,"GC\U26",4275.5,4275.1,0.48649350649354006
2026-08-06 01:02:00.000000000,"GC\Z26",4322.4,4322.1,0.37181069958847796
